Number,# of Divisors,# of Factors,Fermat,Gaussian Prime,Highly Composite,Mod 5,Mod 6,Powerful,Pronic,Squarefree
1778,6,3,0,0,0,3,2,0,0,1
1779,2,2,0,0,0,4,3,0,0,1
1780,10,3,0,0,0,0,4,0,0,0
1781,2,2,0,0,0,1,5,0,0,1
1782,18,3,0,0,0,2,0,0,0,0
1783,0,1,1,1,0,3,1,0,0,1
1784,6,2,0,0,0,4,2,0,0,0
1785,14,4,0,0,0,0,3,0,0,1
1786,6,3,0,0,0,1,4,0,0,1
1787,0,1,1,1,0,2,5,0,0,1
1788,10,3,0,0,0,3,0,0,0,0
1789,0,1,1,0,0,4,1,0,0,1
1790,6,3,0,0,0,0,2,0,0,1
1791,4,2,0,0,0,1,3,0,0,0
1792,16,2,0,0,0,2,4,0,0,0
1793,2,2,0,0,0,3,5,0,0,1
1794,14,4,0,0,0,4,0,0,0,1
1795,2,2,0,0,0,0,1,0,0,1
1796,4,2,0,0,0,1,2,0,0,0
1797,2,2,0,0,0,2,3,0,0,1
1798,6,3,0,0,0,3,4,0,0,1
1799,2,2,0,0,0,4,5,0,0,1
1800,34,3,0,0,0,0,0,1,0,0
1801,0,1,1,0,0,1,1,0,0,1
1802,6,3,0,0,0,2,2,0,0,1
1803,2,2,0,0,0,3,3,0,0,1
1804,10,3,0,0,0,4,4,0,0,0
1805,4,2,0,0,0,0,5,0,0,0
1806,14,4,0,0,0,1,0,0,1,1
1807,2,2,0,0,0,2,1,0,0,1
1808,8,2,0,0,0,3,2,0,0,0
1809,6,2,0,0,0,4,3,0,0,0
1810,6,3,0,0,0,0,4,0,0,1
1811,0,1,1,1,0,1,5,0,0,1
1812,10,3,0,0,0,2,0,0,0,0
1813,4,2,0,0,0,3,1,0,0,0
1814,2,2,0,0,0,4,2,0,0,1
1815,10,3,0,0,0,0,3,0,0,0
1816,6,2,0,0,0,1,4,0,0,0
1817,2,2,0,0,0,2,5,0,0,1
1818,10,3,0,0,0,3,0,0,0,0
1819,2,2,0,0,0,4,1,0,0,1
1820,22,4,0,0,0,0,2,0,0,0
1821,2,2,0,0,0,1,3,0,0,1
1822,2,2,0,0,0,2,4,0,0,1
1823,0,1,1,1,0,3,5,0,0,1
1824,22,3,0,0,0,4,0,0,0,0
1825,4,2,0,0,0,0,1,0,0,0
1826,6,3,0,0,0,1,2,0,0,1
1827,10,3,0,0,0,2,3,0,0,0
1828,4,2,0,0,0,3,4,0,0,0
1829,2,2,0,0,0,4,5,0,0,1
1830,14,4,0,0,0,0,0,0,0,1
1831,0,1,1,1,0,1,1,0,0,1
1832,6,2,0,0,0,2,2,0,0,0
1833,6,3,0,0,0,3,3,0,0,1
1834,6,3,0,0,0,4,4,0,0,1
1835,2,2,0,0,0,0,5,0,0,1
1836,22,3,0,0,0,1,0,0,0,0
1837,2,2,0,0,0,2,1,0,0,1
1838,2,2,0,0,0,3,2,0,0,1
1839,2,2,0,0,0,4,3,0,0,1
1840,18,3,0,0,0,0,4,0,0,0
1841,2,2,0,0,0,1,5,0,0,1
1842,6,3,0,0,0,2,0,0,0,1
1843,2,2,0,0,0,3,1,0,0,1
1844,4,2,0,0,0,4,2,0,0,0
1845,10,3,0,0,0,0,3,0,0,0
1846,6,3,0,0,0,1,4,0,0,1
1847,0,1,1,1,0,2,5,0,0,1
1848,30,4,0,0,0,3,0,0,0,0
1849,1,1,0,0,0,4,1,1,0,0
1850,10,3,0,0,0,0,2,0,0,0
1851,2,2,0,0,0,1,3,0,0,1
1852,4,2,0,0,0,2,4,0,0,0
1853,2,2,0,0,0,3,5,0,0,1
1854,10,3,0,0,0,4,0,0,0,0
1855,6,3,0,0,0,0,1,0,0,1
1856,12,2,0,0,0,1,2,0,0,0
1857,2,2,0,0,0,2,3,0,0,1
1858,2,2,0,0,0,3,4,0,0,1
1859,4,2,0,0,0,4,5,0,0,0
1860,22,4,0,0,0,0,0,0,0,0
1861,0,1,1,0,0,1,1,0,0,1
1862,10,3,0,0,0,2,2,0,0,0
1863,8,2,0,0,0,3,3,0,0,0
1864,6,2,0,0,0,4,4,0,0,0
1865,2,2,0,0,0,0,5,0,0,1
1866,6,3,0,0,0,1,0,0,0,1
1867,0,1,1,1,0,2,1,0,0,1
1868,4,2,0,0,0,3,2,0,0,0
1869,6,3,0,0,0,4,3,0,0,1
1870,14,4,0,0,0,0,4,0,0,1
1871,0,1,1,1,0,1,5,0,0,1
1872,28,3,0,0,0,2,0,0,0,0
1873,0,1,1,0,0,3,1,0,0,1
1874,2,2,0,0,0,4,2,0,0,1
1875,8,2,0,0,0,0,3,0,0,0
1876,10,3,0,0,0,1,4,0,0,0
1877,0,1,1,0,0,2,5,0,0,1
1878,6,3,0,0,0,3,0,0,0,1
1879,0,1,1,1,0,4,1,0,0,1
1880,14,3,0,0,0,0,2,0,0,0
1881,10,3,0,0,0,1,3,0,0,0
1882,2,2,0,0,0,2,4,0,0,1
1883,2,2,0,0,0,3,5,0,0,1
1884,10,3,0,0,0,4,0,0,0,0
1885,6,3,0,0,0,0,1,0,0,1
1886,6,3,0,0,0,1,2,0,0,1
1887,6,3,0,0,0,2,3,0,0,1
1888,10,2,0,0,0,3,4,0,0,0
1889,0,1,1,0,0,4,5,0,0,1
1890,30,4,0,0,0,0,0,0,0,0
1891,2,2,0,0,0,1,1,0,0,1
1892,10,3,0,0,0,2,2,0,1,0
